##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	11_2H_both_S9_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	17919193
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1109	3	-0.7713574427317766
1109	4	-0.6644426807555774
1109	5	-0.39685468682416314
1109	6	-0.7121021142076103
1109	7	-0.572618685011804
1109	8	-0.6762885942412495
1109	9	-0.4898513206173334
1109	10-11	-0.6264985758039003
1109	12-13	-0.5130579060393998
1109	14-15	-0.3954085023216152
1109	16-17	-0.14029026021625413
1109	18-19	-0.020514294717422388
1109	20-21	0.1205336528058325
1109	22-23	0.0764888665701875
1109	24-25	0.098722307544584
1109	26-27	0.07717594020201801
1109	28-29	-0.020528622435897148
1109	30-31	0.06747515422807027
1109	32-33	0.16592054296116743
1109	34-35	0.008771921837485763
1109	36-37	0.013840316687414145
1109	38-39	-0.08511587776177265
1109	40-41	-0.17169367168914818
1109	42-43	-0.02056948402645986
1109	44-45	0.07358725207618733
1109	46-47	0.13052369413808407
1109	48-49	0.16822517938818038
1109	50-51	0.12785221819952852
1109	52-53	0.03790904340070256
1109	54-55	0.2167476890681712
1109	56-57	0.09657950996836462
1109	58-59	0.14947805074480414
1109	60-61	0.040639917669871295
1109	62-63	6.71457648806495E-5
1109	64-65	0.04754796763202762
1109	66-67	0.1029677107741307
1109	68-69	0.17047305087547215
1109	70-71	-0.01161722289499778
1109	72-73	0.038262136188336626
1109	74-75	0.09995484449103742
1109	76-77	0.31319641539953835
1109	78-79	0.30967313417011155
1109	80-81	0.11050778486937674
1109	82-83	0.09309896647830129
1109	84-85	0.1257664973583772
1109	86-87	0.13862002113157246
1109	88-89	0.05576179783297164
1109	90-91	-0.012500636165917456
1109	92-93	0.08563017522253347
1109	94-95	0.1345040166187772
1109	96-97	0.11920106606253
1109	98-99	0.17124992619532264
1109	100-101	0.2663255685919239
1110	1	-0.46734684349335964
1110	2	-0.11964619091956408
1110	3	-0.6714061593394547
1110	4	-0.5114732905273129
1110	5	-0.44572044816833767
1110	6	-0.6472530737854498
1110	7	-0.5383381991230536
1110	8	-0.4498617507819276
1110	9	-0.35787590542632586
1110	10-11	-0.21409492384299256
1110	12-13	-0.16387268804174226
1110	14-15	-0.1410327324003049
1110	16-17	-0.07810645933691518
1110	18-19	-0.04941408809286685
1110	20-21	-0.05389712437508365
1110	22-23	0.011145536694769476
1110	24-25	0.05712010561309455
1110	26-27	0.0011239000272809108
1110	28-29	-0.009192911082664068
1110	30-31	-0.0060490346560087005
1110	32-33	0.036784900967383294
1110	34-35	-0.032096054916856076
1110	36-37	-0.032432717807047595
1110	38-39	-0.05133977793813216
1110	40-41	-0.06157476311518195
1110	42-43	0.06338592593967007
1110	44-45	0.0768479056905349
1110	46-47	0.11558035697241564
1110	48-49	0.09125188076912139
1110	50-51	0.025939772709115516
1110	52-53	-0.05329919718936793
1110	54-55	0.1824667586515787
1110	56-57	0.03817221175691543
1110	58-59	0.05516771452005287
1110	60-61	0.1160168585139516
1110	62-63	0.06322441889147967
1110	64-65	0.0693850152250235
1110	66-67	0.12205508221840944
1110	68-69	0.13007974422882285
1110	70-71	0.07877684855815659
1110	72-73	0.026862631446277874
1110	74-75	0.039391693740086
1110	76-77	0.006158933373129116
1110	78-79	0.1738849381026384
1110	80-81	-0.01053156407193967
1110	82-83	-0.021491877599252973
1110	84-85	0.13123310762976104
1110	86-87	0.14061892255024588
1110	88-89	0.05296304690372722
1110	90-91	0.03010771445280369
1110	92-93	0.05276273220766825
1110	94-95	0.09357081086930918
1110	96-97	0.0024577325536512262
1110	98-99	0.09050053117767476
1110	100-101	0.13754649440335243
1111	1	-0.07488644369911057
1111	2	-0.08532767313313627
1111	3	-0.37448150363476884
1111	4	-0.20717222358656784
1111	5	-0.1047281709457053
1111	6	-0.08209073532267297
1111	7	-0.08122771401993845
1111	8	-0.0033264156192913674
1111	9	0.09587728452004995
1111	10-11	0.015439019819048383
1111	12-13	0.08566564742130822
1111	14-15	0.04383618044822413
1111	16-17	0.12045226232972794
1111	18-19	0.08148963350578953
1111	20-21	0.1675869167479931
1111	22-23	0.1236439849468951
1111	24-25	0.18916790082934654
1111	26-27	0.12389817905449263
1111	28-29	0.039873809385206016
1111	30-31	0.09151005593937356
1111	32-33	0.25185852526789887
1111	34-35	0.11163928711092552
1111	36-37	0.13441602061011793
1111	38-39	0.10605450339733835
1111	40-41	0.019257723529243265
1111	42-43	0.06264100332780487
1111	44-45	0.17168791948482465
1111	46-47	0.18388961466931875
1111	48-49	0.1683697739002099
1111	50-51	0.11793086285826604
1111	52-53	0.11250947744304796
1111	54-55	0.33303236211550313
1111	56-57	0.2088691285438813
